population,city,country,latitude,longitude,original_name,the_geom,cartodb_id,created_at,updated_at
146769,Tak,Thailand,16.88399,99.12585,,0101000020E6100000E78C28ED0DC85840B5FD2B2B4DE23040,2812,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146758,Arish,Egypt,31.12839,33.803865,العريش,0101000020E610000014B35E0CE5E640402922C32ADE203F40,2813,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146714,Dadu,Pakistan,26.733333,67.783333,دادو,0101000020E61000002A38BC2022F25040DB1324B6BBBB3A40,2814,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146585,Higashimurayama,Japan,35.760493,139.46585,東村山市,0101000020E6100000EE5A423EE86E614020EBA9D557E14140,2815,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146559,Kertch,Ukraine,45.361944,36.471111,Керч,0101000020E610000097E4805D4D3C4240E17D552E54AE4640,2816,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146526,Hollywood,USA,26.0311,-80.1646,,0101000020E6100000FB3A70CE880A54C0D5E76A2BF6073A40,2817,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146418,Ciudad de La Rioja,Argentina,-29.4128,-66.85598,,0101000020E6100000ED815660C8B650C0EFC9C342AD693DC0,2818,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146294,Moriguchi,Japan,34.738076,135.563779,守口市,0101000020E61000007EE5417A0AF2604033FB3C46795E4140,2819,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146234,Huddersfield,United Kingdom,53.645792,-1.785035,,0101000020E61000001D7233DC808FFCBF5C02F04FA9D24A40,2820,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146128,Fukaya,Japan,36.201149,139.28578,深谷市,0101000020E61000003A3B191C25696140C24F1C40BF194240,2821,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146115,Izumo,Japan,35.414771,132.886054,出雲市,0101000020E6100000AE0FEB8D5A9C6040242A543717B54140,2822,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146114,Mogi Guaçu,Brazil,-22.36556,-46.943352,,0101000020E6100000DF4E22C2BF7847C0CBB91457955D36C0,2823,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146075,Rubtsovsk,Russia,51.516667,81.2,,0101000020E6100000CDCCCCCCCC4C544012F6ED2422C24940,2824,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
146032,Khanpur,Pakistan,28.653702,70.647022,خانپور,0101000020E6100000B972F6CE68A951406D54A70359A73C40,2825,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145948,Paterson,USA,40.9147,-74.1628,,0101000020E61000007CF2B0506B8A52C05BD3BCE314754440,2826,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145945,Pangkal Pinang,Indonesia,-2.996538,104.774498,,0101000020E610000050340F6091315A401EC539EAE8F807C0,2827,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145920,Kankan,Guinea,"10,378","-9,303",,0101000020E61000004260E5D0229B22C0A8C64B3789C12440,2828,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145795,Valera,Venezuela,9.319111,-70.603299,,0101000020E610000069AD68739CA651C07496598462A32240,2829,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145769,Borisov,Belarus,54.214431,28.508436,,0101000020E6100000EB1B98DC28823C40D11F9A79721B4B40,2830,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145687,Man,Côte d'Ivoire,"7,403","-7,556",,0101000020E6100000D34D621058391EC0E9263108AC9C1D40,2831,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145676,Koktshetau,Kazakhstan,53.294823,69.404787,,0101000020E610000024B6BB07E8595140E78D93C2BCA54A40,2832,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145637,El Vigía,Venezuela,8.614968,-71.655579,,0101000020E6100000713C9F01F5E951C04D2CF015DD3A2140,2833,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145584,Nzerekore,Guinea,"7,755","-8,811",,0101000020E6100000AC1C5A643B9F21C085EB51B81E051F40,2834,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145441,Médéa,Algeria,36.266667,2.75,المدية,0101000020E6100000000000000000064012F6ED2422224240,2835,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145380,El Eulma,Algeria,36.155011,5.665619,العلمة,0101000020E61000008962F20698A9164098C28366D7134240,2836,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145285,Ranaghat,India,23.17405,88.563935,,0101000020E61000007784D382172456406ADE718A8E2C3740,2837,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145262,al-Du'aiyn,Sudan,11.43,26.15,,0101000020E61000006666666666263A405C8FC2F528DC2640,2838,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145237,Ar'ar,Saudi-Arabia,30.981537,41.025873,‏عرعر‎,0101000020E6100000B96C74CE4F8344405FD0420246FB3E40,2839,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145151,Târgu Mureş,Romania,46.545556,24.5625,,0101000020E610000000000000009038407B116DC7D4454740,2840,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145150,Huelva,Spain,37.261421,-6.944722,,0101000020E6100000313F373465C71BC06ABE4A3E76A14240,2841,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145150,Villeurbanne,France,45.771944,4.890171,,0101000020E6100000F56393FC888F1340F52B9D0FCFE24640,2842,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145126,Kakamigahara,Japan,35.398931,136.848371,各務原市,0101000020E6100000FE7BF0DA251B6140272EC72B10B34140,2843,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145117,Kariya,Japan,34.991161,137.00887,刈谷市,0101000020E61000004CFDBCA9482061400B09185DDE7E4140,2844,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145040,al-Damazin,Sudan,11.82,34.38,,0101000020E6100000713D0AD7A3304140A4703D0AD7A32740,2845,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
145025,Milagro,Ecuador,-2.134722,-79.587222,,0101000020E6100000785F950B95E553C0E869C020E91301C0,2846,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144975,Shimla,India,31.104815,77.173403,,0101000020E6100000CF81E508194B53405721E527D51A3F40,2848,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144864,Naperville,USA,41.7492,-88.162,,0101000020E6100000EE7C3F355E0A56C0E4141DC9E5DF4440,2849,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144838,Kolomna,Russia,55.093752,38.768862,,0101000020E61000008E91EC116A624340A1F7C610008C4B40,2850,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144800,Poole,United Kingdom,50.71505,-1.987248,,0101000020E61000009BA9108FC4CBFFBF9D8026C2865B4940,2851,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144683,Tiruvannamalai,India,12.225284,79.074696,,0101000020E61000001749BBD1C7C45340C79FA86C58732840,2852,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144669,Syracuse,USA,43.041,-76.1436,,0101000020E610000029ED0DBE300953C06891ED7C3F854540,2853,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144633,Kaithal,India,29.8,76.38,,0101000020E6100000B81E85EB51185340CDCCCCCCCCCC3D40,2854,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144546,Gonbad-e-Kavus,Iran,37.25,55.167222,گنبدکاووس,0101000020E6100000FB95CE8767954B400000000000A04240,2855,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144507,Balti (Beltsy),Republic of Moldova,47.753995,27.918415,,0101000020E6100000E527D53E1DEB3B407C2C7DE882E04740,2856,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144392,Koga,Japan,36.190783,139.717117,古河市,0101000020E6100000FBCC599FF2766140FFD0CC936B184240,2857,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144330,Mallawi,Egypt,27.73276,30.83966,ملوى,0101000020E610000065C22FF5F3D63E4024D1CB2896BB3B40,2858,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144140,Los Angeles,Chile,-37.472872,-72.354452,,0101000020E61000001D007157AF1652C0D998D71187BC42C0,2859,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144114,Oulu,Finland,65.012615,25.471453,,0101000020E6100000E199D024B1783940191C25AFCE405040,2860,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
144000,Jalingo,Nigeria,"8,912","11,379",,0101000020E6100000355EBA490CC226406DE7FBA9F1D22140,2861,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143986,Tsuchiura,Japan,36.078014,140.206025,土浦市,0101000020E610000012A5BDC197866140A950DD5CFC094240,2862,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143933,Ekibastuz,Kazakhstan,51.725198,75.315068,,0101000020E61000000801F9122AD45240F38FBE49D3DC4940,2863,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143848,Odintsovo,Russia,55.666667,37.266667,,0101000020E610000012F6ED2422A242404529215855D54B40,2864,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143817,Franco da Rocha,Brazil,-23.31358,-46.725243,,0101000020E610000093533BC3D45C47C000AE64C7465037C0,2865,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143807,Bajos de Haina,Dominican Republic,18.416667,-70.033333,,0101000020E61000002A38BC20228251C08B5242B0AA6A3240,2866,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143770,Rajnandgaon,India,21.097103,81.030222,,0101000020E6100000A9674128EF415440EF5701BEDB183540,2867,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143753,10th of Ramadan City,Egypt,30.306503,31.741455,العاشر من رمضان,0101000020E6100000A774B0FECFBD3F403A2009FB764E3E40,2868,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143683,Bontang,Indonesia,0.133333,117.5,,0101000020E61000000000000000605D40F3203D450E11C13F,2869,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143659,Paderborn,Germany,51.7177044,8.752653,,0101000020E6100000FB78E8BB5B8121400019DFBCDDDB4940,2870,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143484,Mesquite,USA,32.7639,-96.5924,,0101000020E6100000A089B0E1E92558C00BB5A679C7614040,2871,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143369,Kenema,Sierra Leone,"7,877","-11,188",,0101000020E6100000C74B3789416026C0355EBA490C821F40,2872,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143369,Gojra,Pakistan,31.142625,72.68376,گوجرہ,0101000020E610000008944DB9C22B52408D976E1283243F40,2873,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143355,Dayton,USA,39.7774,-84.1996,,0101000020E61000000612143FC60C55C088F4DBD781E34340,2874,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143312,Bến Tre,Vietnam,10.108155,106.440587,,0101000020E6100000BC02D193329C5A403ACC971760372440,2875,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143308,Shahinshahr,Iran,32.866667,51.566667,شاهین شهر,0101000020E6100000795C548B88C84940DFC2BAF1EE6E4040,2876,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143282,Porto Seguro,Brazil,-16.433121,-39.084677,,0101000020E610000098DC28B2D68A43C0F8359204E16E30C0,2877,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143270,Touggourt,Algeria,33.103145,6.062372,توقرت,0101000020E610000094BE1072DE3F18407ADFF8DA338D4040,2878,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143235,Nablus,Palestine,32.22504,35.260971,,0101000020E61000002A1A6B7F67A141405B25581CCE1C4040,2879,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143126,Godhra,India,22.778804,73.61428,,0101000020E61000008FA50F5D5067524076FEEDB25FC73640,2880,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143111,Maricá,Brazil,-22.938505,-42.652689,,0101000020E6100000BFBA2A508B5345C0EA211ADD41F036C0,2881,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143090,Dundee,United Kingdom,56.462018,-2.970721,,0101000020E6100000C652245F09C407C0E814E467233B4C40,2882,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143060,Cúa,Venezuela,10.166667,-66.883333,,0101000020E6100000909E228788B850C016A5846055552440,2883,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143023,Leskovac,Serbia,42.996376,21.944034,,0101000020E6100000E34F5436ACF135407842AF3F897F4540,2884,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143016,Oxford,United Kingdom,51.752021,-1.257726,,0101000020E61000002843554CA51FF4BFDE73603942E04940,2885,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
143000,Ikire,Nigeria,"7,364","4,187",,0101000020E6100000736891ED7CBF1040DBF97E6ABC741D40,2886,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142961,Mbouda,Cameroon,5.63,10.26,,0101000020E610000085EB51B81E85244085EB51B81E851640,2887,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142913,Ghardaïa,Algeria,32.490225,3.673841,غرداية,0101000020E6100000A9A10DC006640D403F575BB1BF3E4040,2888,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142772,Savannah,USA,32.0025,-81.1536,,0101000020E6100000992A1895D44954C0B81E85EB51004040,2889,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142743,Domodedovo,Russia,55.443023,37.747817,,0101000020E61000004832AB77B8DF42401A3048FAB4B84B40,2890,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142709,Queimados,Brazil,-22.690476,-43.556524,,0101000020E610000035B8AD2D3CC745C043ACFE08C3B036C0,2891,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142691,Middlesbrough,United Kingdom,54.574227,-1.234956,,0101000020E6100000CEFBFF3861C2F3BF77BD344580494B40,2892,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142643,Moundou,Chad,"8,569","16,066",,0101000020E610000037894160E510304017D9CEF753232140,2893,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142635,Isahaya,Japan,32.85184,130.041471,諫早市,0101000020E61000007097FDBA534160405BB6D617096D4040,2894,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142626,Le Mans,France,48.00611,0.199556,,0101000020E6100000D63BDC0E0D8BC93FDB166536C8004840,2895,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
